rho,b_plus,intensity,termination_reason,shell_crossing_count
0.0,0.0,0.0,axis,0
0.021052631578947368,0.0214865711710207,0.0,horizon,1
0.042105263157894736,0.042973130914287144,0.0,horizon,1
0.08421052631578947,0.08594617040672255,0.0,horizon,1
0.16842105263157894,0.17189160944446588,0.0,horizon,1
0.25263157894736843,0.25783558577536875,0.0,horizon,1
0.3368421052631579,0.3437773681238026,0.0,horizon,1
0.42105263157894735,0.42971622530748044,0.0,horizon,1
0.5052631578947369,0.5156514262685562,0.0,horizon,1
0.5894736842105263,0.6015822401047114,0.0,horizon,1
0.6736842105263158,0.6875079361002275,0.0,horizon,1
0.7578947368421053,0.7734277837570385,0.0,horizon,1
0.8421052631578947,0.859341052825762,0.0,horizon,1
0.9263157894736842,0.9452470133367071,0.0,horizon,1
1.0105263157894737,1.0311449356308535,0.0,horizon,1
1.0947368421052632,1.1170340903907983,0.0,horizon,1
1.1789473684210525,1.202913748671671,0.0,horizon,1
1.263157894736842,1.2887831819320135,0.0,horizon,1
1.3473684210526315,1.3746416620646138,0.0,horizon,1
1.431578947368421,1.4604884614273028,0.0,horizon,1
1.5157894736842106,1.5463228528737032,0.0,horizon,1
1.5999999999999999,1.6321441097839267,0.0,horizon,1
1.6842105263157894,1.717951506095224,0.0,horizon,1
1.768421052631579,1.8037443163325761,0.0,horizon,1
1.8526315789473684,1.8895218156392284,0.0,horizon,1
1.936842105263158,1.975283279807164,0.0,horizon,1
2.0210526315789474,2.061027985307512,0.0,horizon,1
2.1052631578947367,2.1467552093208924,0.0,horizon,1
2.1894736842105265,2.232464229767686,0.0,horizon,1
2.2736842105263158,2.318154325338232,0.0,horizon,1
2.357894736842105,2.403824775522958,0.0,horizon,1
2.442105263157895,2.489474860642418,0.0,horizon,1
2.526315789473684,2.5751038618772593,0.0,horizon,1
2.610526315789474,2.660711061298099,0.0,horizon,1
2.6315789473684212,2.682109370574673,0.0,horizon,1
2.6526315789473687,2.703506261226022,3.35293755306274e-05,horizon,1
2.673684210526316,2.724901722061773,0.00019901353339573736,horizon,1
2.694736842105263,2.7462957418953184,0.0004752414031690459,horizon,1
2.71578947368421,2.767688309543847,0.0008361992466700101,horizon,1
2.7368421052631575,2.7890794138283734,0.0012604221368945785,horizon,1
2.757894736842105,2.8104690435737614,0.001730239228711338,horizon,1
2.7789473684210524,2.8318571876087617,0.002231145904568056,horizon,1
2.8,2.853243834766033,0.0027512806652769174,horizon,1
2.8210526315789473,2.8746289738821758,0.003280988676843966,horizon,1
2.863157894736842,2.9173946833573443,0.004339410388126341,horizon,1
2.905263157894737,2.960154226806954,0.005360863211624709,horizon,1
2.9473684210526314,3.002907515068566,0.006317161689447223,horizon,1
3.031578947368421,3.0883949697079225,0.007977772187544035,horizon,1
3.1157894736842104,3.173856335308219,0.00927520718828198,horizon,1
3.1999999999999997,3.259290900998781,0.010226820876670898,horizon,1
3.2842105263157895,3.344697957034546,0.010875188476308285,horizon,1
3.3684210526315788,3.4300767948250654,0.011269609323141383,horizon,1
3.4526315789473685,3.5154267069633742,0.011457568904234995,horizon,1
3.536842105263158,3.6007469872547584,0.0114812150438177,horizon,1
3.621052631578947,3.6860369307454044,0.011376306849890683,horizon,1
3.705263157894737,3.771295833750914,0.01117232663661055,horizon,1
3.789473684210526,3.856522993884717,0.010893083458796422,horizon,1
3.873684210526316,3.941717710086342,0.01073181274077095,horizon,1
3.957894736842105,4.0268792826495625,0.0107230934322361,horizon,1
4.042105263157895,4.11200701325042,0.010642620973339428,horizon,1
4.110906447511497,4.18153196098087,0.010534287346889288,horizon,1
4.122254705475642,4.192997357160552,0.010513297945622566,horizon,1
4.126315789473684,4.1971002049751025,0.010505589920631957,horizon,1
4.133602963439787,4.204462114076286,0.010491504751139217,horizon,1
4.1449512214039315,4.21592623002787,0.01046893580370246,horizon,1
4.1562994793680765,4.227389703315594,0.01044561843153199,horizon,1
4.167647737332222,4.238852532240229,0.010421579265425321,horizon,1
4.178995995296367,4.250314715103033,0.010396844253264804,horizon,1
4.190344253260512,4.2617762502057515,0.010371438674395805,horizon,1
4.201692511224657,4.2732371358506205,0.010345387153863472,horizon,1
4.2105263157894735,4.2821581623477,0.010324676198632917,horizon,1
